order_id,customer_id,order_timestamp,category,quantity,unit_price,discount_pct,revenue,status,payment_method
O100000,C00467,2024-05-28 09:26:00,Clothing,1,131.24,0.0,131.24,Completed,Card
O100001,C00920,2024-04-15 10:57:00,Beauty,1,193.11,25.0,144.83,Completed,Card
O100002,C00658,2024-08-16 01:45:00,Beauty,5,99.74,0.0,498.7,Completed,Google Pay
O100003,C00204,2024-03-05 16:54:00,Beauty,2,103.87,15.0,0.0,Cancelled,Card
O100004,C00835,2024-02-10 11:55:00,Electronics,3,129.36,0.0,388.08,Completed,Apple Pay
O100005,C00171,2024-03-11 13:26:00,Books,4,41.82,0.0,167.28,Completed,Card
O100006,C00322,2024-10-14 04:21:00,Books,4,59.82,0.0,239.28,Completed,PayPal
O100007,C01095,2024-03-07 05:51:00,Beauty,4,19.33,0.0,-77.32,Returned,Card
O100008,C01047,2024-05-29 14:36:00,Clothing,-3,69.71,5.0,198.67,Completed,Apple Pay
O100009,C00777,2024-05-31 20:05:00,Sports,4,254.69,0.0,1018.76,Completed,Card
O100010,C01190,2024-04-24 16:29:00,Home,4,243.42,10.0,876.31,Completed,Card
O100011,C00313,2024-06-11 02:19:00,Sports,1,110.69,15.0,94.09,Completed,Card
O100012,C00972,2024-03-18 19:02:00,Beauty,1,188.26,0.0,188.26,Completed,Card
O100013,C00832,2024-04-05 09:09:00,Home,3,280.34,10.0,0.0,Cancelled,Card
O100014,C00761,2024-06-19 06:21:00,Books,4,80.48,10.0,289.73,Completed,Card
O100015,C00182,2024-04-09 19:03:00,Clothing,4,151.01,5.0,-573.84,Returned,PayPal
O100016,C00074,2024-05-22 20:42:00,Electronics,3,304.39,0.0,913.17,Completed,Card
O100017,C01039,2024-05-23 16:33:00,Sports,5,277.86,0.0,-1389.3,Returned,Google Pay
O100018,C00715,2024-08-01 05:07:00,Clothing,3,168.01,10.0,453.63,Completed,PayPal
O100019,C01296,2024-03-06 19:29:00,Clothing,2,247.2,0.0,494.4,Completed,Card
O100020,C00618,2024-02-21 01:35:00,Clothing,1,70.18,10.0,63.16,Completed,Card
O100021,C00241,2024-05-01 03:26:00,Clothing,3,244.78,0.0,734.34,Completed,Card
O100022,C01072,2024-05-19 22:00:00,Electronics,2,180.68,0.0,361.36,Completed,Card
O100023,C01266,2024-05-24 02:17:00,Home,2,190.86,0.0,381.72,Completed,Card
O100024,C00423,2024-02-09 22:46:00,Home,1,14.69,5.0,13.96,Completed,Card
O100025,C00023,2024-03-18 04:53:00,Clothing,2,44.4,0.0,88.8,Completed,Apple Pay
O100026,C01309,2024-05-01 12:54:00,Electronics,2,126.43,15.0,214.93,Completed,Google Pay
O100027,C01197,2024-07-12 18:41:00,Home,1,249.98,15.0,212.48,Completed,Card
O100028,C00414,2024-04-06 14:34:00,Clothing,1,134.42,20.0,0.0,Cancelled,PayPal
O100029,C00557,2024-05-13 23:55:00,Home,5,305.02,0.0,1525.1,Completed,PayPal
O100030,C00969,2024-05-13 01:12:00,Clothing,3,70.16,,210.48,Completed,
O100031,C01029,2024-06-27 22:38:00,Books,3,51.55,,154.65,Completed,
O100032,C00351,2024-06-07 07:09:00,Sports,5,283.23,0.0,-1416.15,Returned,Google Pay
O100033,C00052,2024-03-19 21:53:00,Sports,3,191.76,15.0,488.99,Completed,Card
O100034,C01358,2024-03-28 21:05:00,Clothing,5,217.94,0.0,1089.7,Completed,Apple Pay
O100035,C00928,2024-02-09 09:52:00,Sports,1,155.89,0.0,155.89,Completed,Card
O100036,C01097,2024-03-23 13:46:00,Electronics,2,254.42,25.0,381.63,Completed,Card
O100037,C00526,2024-02-06 15:45:00,Electronics,3,16.34,0.0,49.02,Completed,Card
O100038,C01138,2024-06-12 10:53:00,Beauty,5,62.19,10.0,0.0,Cancelled,Card
O100039,C01086,2024-04-13 01:23:00,Sports,3,114.98,0.0,344.94,Completed,Card
O100040,C00329,2024-06-28 02:46:00,Books,2,129.55,10.0,233.19,Completed,PayPal
O100041,C00920,2024-04-16 16:04:00,Books,4,105.6,5.0,401.28,Completed,Card
O100042,C00122,2024-05-28 06:31:00,Clothing,5,117.03,0.0,585.15,Completed,Card
O100043,C00964,2024-04-09 18:52:00,Electronics,3,419.28,20.0,-1006.27,Returned,Apple Pay
O100044,C01131,2024-07-02 01:35:00,Books,4,104.44,15.0,355.1,Completed,Card
O100045,C00582,2024-06-04 12:33:00,Electronics,3,353.53,10.0,954.53,Completed,Card
O100046,C00802,2024-04-22 15:00:00,Clothing,5,245.17,0.0,1225.85,Completed,Card
O100047,C00866,2024-06-08 08:09:00,Electronics,5,143.32,20.0,573.28,Completed,Card
O100048,C00619,2024-03-21 08:23:00,Clothing,3,189.55,15.0,483.35,Completed,Card
O100049,C01298,2024-05-14 20:58:00,Clothing,3,20.75,20.0,49.8,Completed,PayPal
O100050,C00536,2024-03-25 09:20:00,Electronics,3,354.06,25.0,796.64,Completed,Card
O100051,C00723,2024-07-31 19:25:00,Beauty,5,114.17,10.0,513.76,Completed,Card
O100052,C01106,2024-05-18 20:22:00,Clothing,5,91.65,0.0,-458.25,Returned,PayPal
O100053,C00521,2024-03-18 14:43:00,Electronics,1,391.03,0.0,-391.03,Returned,Card
O100054,C00965,2024-03-25 18:21:00,Beauty,3,191.81,0.0,575.43,Completed,PayPal
O100055,C00938,2024-06-27 23:57:00,Beauty,5,58.36,15.0,248.03,Completed,Card
O100056,C00074,2024-06-09 23:40:00,Beauty,5,228.4,15.0,970.7,Completed,PayPal
O100057,C00396,2024-02-16 12:43:00,Home,3,67.39,10.0,181.95,Completed,Card
O100058,C00735,2024-05-20 12:59:00,Home,2,267.93,20.0,428.69,Completed,Apple Pay
O100059,C00563,2024-03-25 11:50:00,Clothing,5,113.78,0.0,568.9,Completed,Card
O100060,C00253,2024-02-10 02:31:00,Beauty,2,192.9,0.0,385.8,Completed,Card
O100061,C01143,2024-05-25 00:11:00,Beauty,5,208.38,0.0,1041.9,Completed,Card
O100062,C00190,2024-06-22 23:45:00,Beauty,4,211.11,15.0,717.77,Completed,Card
O100063,C00378,2024-03-30 16:14:00,Electronics,5,46.85,0.0,234.25,Completed,Apple Pay
O100064,C00450,2024-05-05 20:04:00,Books,3,93.69,15.0,-238.91,Returned,PayPal
O100065,C01195,2024-03-21 17:56:00,Clothing,5,162.29,0.0,811.45,Completed,Apple Pay
O100066,C01131,2024-07-02 18:00:00,Sports,5,212.56,0.0,-1062.8,Returned,PayPal
O100067,C01037,2024-07-10 08:02:00,Beauty,3,105.26,5.0,299.99,Completed,Apple Pay
O100068,C01232,2024-05-10 18:21:00,Books,5,145.32,0.0,726.6,Completed,Card
O100069,C01389,2024-06-25 17:52:00,Clothing,3,12.92,0.0,38.76,Completed,Card
O100070,C01309,2024-06-07 18:21:00,Electronics,3,463.13,5.0,1319.92,Completed,Card
O100071,C01207,2024-05-23 12:48:00,Beauty,4,82.0,0.0,328.0,Completed,Card
O100072,C00597,2024-04-02 22:50:00,Books,4,144.47,0.0,-577.88,Returned,Card
O100073,C00144,2024-04-18 11:51:00,Home,5,219.68,20.0,878.72,Completed,Card
O100074,C01290,2024-07-30 21:27:00,Clothing,3,260.65,0.0,781.95,Completed,Card
O100075,C00105,2024-04-27 20:06:00,Sports,2,325.1,0.0,650.2,Completed,Google Pay
O100076,C00349,2024-04-10 22:35:00,Electronics,1,378.45,10.0,340.6,Completed,PayPal
O100077,C00271,2024-04-30 08:16:00,Clothing,5,252.33,,1261.65,Completed,
O100078,C00837,2024-03-02 08:38:00,Electronics,1,98.88,0.0,98.88,Completed,Card
O100079,C01253,2024-04-27 06:06:00,Home,5,90.89,0.0,454.45,Completed,PayPal
O100080,C00670,2024-03-17 09:13:00,Sports,2,340.81,10.0,613.46,Completed,Card
O100081,C00119,2024-06-05 09:28:00,Sports,2,269.08,10.0,484.34,Completed,Card
O100082,C00788,2024-04-07 02:25:00,Clothing,4,113.83,0.0,455.32,Completed,Apple Pay
O100083,C01026,2024-03-26 18:34:00,Clothing,3,21.39,0.0,64.17,Completed,Card
O100084,C01159,2024-03-08 07:15:00,Clothing,2,33.74,0.0,67.48,Completed,PayPal
O100085,C00990,2024-04-13 15:34:00,Home,1,274.79,20.0,219.83,Completed,Card
O100086,C00919,2024-05-09 19:46:00,Beauty,3,24.42,0.0,73.26,Completed,PayPal
O100087,C00068,2024-08-26 11:35:00,Electronics,2,157.83,10.0,0.0,Cancelled,Apple Pay
O100088,C00771,2024-01-29 11:01:00,Clothing,3,269.72,0.0,809.16,Completed,Apple Pay
O100089,C00835,2024-03-05 03:37:00,Electronics,5,236.2,5.0,1121.95,Completed,Card
O100090,C00649,2024-05-22 23:21:00,Sports,3,321.71,0.0,965.13,Completed,Card
O100091,C01274,2024-02-19 23:13:00,Sports,5,247.22,0.0,1236.1,Completed,Card
O100092,C00249,2024-03-08 20:24:00,Sports,2,229.31,,412.76,Completed,
O100093,C01141,2024-05-30 03:53:00,Clothing,2,150.27,0.0,300.54,Completed,PayPal
O100094,C00218,2024-05-19 20:47:00,Sports,1,175.61,10.0,158.05,Completed,Card
O100095,C00756,2024-04-18 19:51:00,Electronics,2,335.35,0.0,670.7,Completed,PayPal
O100096,C00271,2024-04-18 20:31:00,Beauty,3,28.74,0.0,86.22,Completed,PayPal
O100097,C01010,2024-03-18 14:17:00,Home,5,169.03,0.0,845.15,Completed,Card
O100098,C00649,2024-05-24 22:13:00,Beauty,4,101.55,0.0,406.2,Completed,Card
O100099,C01058,2024-04-05 00:07:00,Beauty,5,180.47,10.0,812.12,Completed,Card
O100100,C00254,2024-02-27 00:41:00,Sports,3,141.53,5.0,403.36,Completed,Card
